obj,lowerBound,time,img,method,nn_id
-7.552047795960029,-3.676225880094822,322.303,12,cayley,5
-7.552047795960029,-3.740624832043928,322.303,12,cayley,5
-7.552047795960029,-3.740624832043928,322.303,12,cayley,5
-7.552047795960029,-3.740624832043928,322.304,12,cayley,5
-7.552047795960029,-3.740624832043928,322.304,12,cayley,5
-7.552047795960029,-3.740624832043928,322.304,12,cayley,5
-7.552047795960029,-3.740624832043928,322.304,12,cayley,5
-7.552047795960029,-3.740624832043928,322.305,12,cayley,5
-7.552047795960029,-3.740624832043928,322.305,12,cayley,5
-7.552047795960029,-3.740624832043928,322.305,12,cayley,5
-7.552047795960029,-3.740624832043928,322.305,12,cayley,5
-7.552047795960029,-3.740624832043928,322.306,12,cayley,5
-7.552047795960029,-3.740624832043928,322.306,12,cayley,5
-7.552047795960029,-3.740624832043928,322.306,12,cayley,5
-7.552047795960029,-3.740624832043928,322.307,12,cayley,5
-7.552047795960029,-3.740624832043928,322.307,12,cayley,5
-7.552047795960029,-3.740624832043928,322.307,12,cayley,5
-7.552047795960029,-3.740624832043928,322.317,12,cayley,5
-7.552047795960029,-3.740624832043928,322.318,12,cayley,5
-7.552047795960029,-3.740624832043928,322.319,12,cayley,5
-7.552047795960029,-3.740624832043928,322.33,12,cayley,5
-7.552047795960029,-3.740624832043928,322.33,12,cayley,5
-7.552047795960029,-3.740624832043928,322.331,12,cayley,5
-7.552047795960029,-3.740624832043928,322.331,12,cayley,5
-7.552047795960029,-3.740624832043928,322.331,12,cayley,5
-7.552047795960029,-3.740624832043928,322.332,12,cayley,5
-7.552047795960029,-3.740624832043928,322.332,12,cayley,5
-7.552047795960029,-3.740624832043928,322.332,12,cayley,5
-7.552047795960029,-3.740624832043928,322.332,12,cayley,5
-7.552047795960029,-3.740624832043928,322.333,12,cayley,5
-7.552047795960029,-3.740624832043928,322.333,12,cayley,5
-7.552047795960029,-3.740624832043928,322.333,12,cayley,5
-7.552047795960029,-3.740624832043928,322.333,12,cayley,5
-7.552047795960029,-3.740624832043928,322.334,12,cayley,5
-7.552047795960029,-3.740624832043928,322.334,12,cayley,5
-7.552047795960029,-3.740624832043928,322.335,12,cayley,5
-7.552047795960029,-3.740624832043928,322.335,12,cayley,5
-7.552047795960029,-3.740624832043928,322.598,12,cayley,5
-7.552047795960029,-3.740624832043928,322.599,12,cayley,5
-7.552047795960029,-3.740624832043928,322.599,12,cayley,5
-7.552047795960029,-3.740624832043928,322.6,12,cayley,5
-7.552047795960029,-3.740624832043928,322.6,12,cayley,5
-7.552047795960029,-3.740624832043928,322.601,12,cayley,5
-7.552047795960029,-3.740624832043928,322.601,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.182,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.185,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.185,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.186,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.204,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.204,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.205,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.205,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.205,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.206,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.206,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.206,12,cayley,5
-7.552047795960029,-3.7421501513223374,333.206,12,cayley,5
